Bus,Nominal_kV,Voltage_pu,Voltage_kV,Violation
L1.ElmBay\L1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L1.ElmBay\TL1.1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L1.ElmBay\TL1.2.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L2.ElmBay\L2.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L2.ElmBay\TL2.1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L2.ElmBay\TL2.2.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L3.ElmBay\L3.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L3.ElmBay\TL3.1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L3.ElmBay\TL3.2.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L4.ElmBay\L4.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L4.ElmBay\TL4.1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
L4.ElmBay\TL4.2.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
R1.ElmBay\R1.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R1.ElmBay\TR1.1.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R1.ElmBay\TR1.2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R2.ElmBay\R2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R2.ElmBay\TR2.1.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R2.ElmBay\TR2.2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R3.ElmBay\R3.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R3.ElmBay\TR3.1.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R3.ElmBay\TR3.2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R4.ElmBay\R4.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R4.ElmBay\TR4.1.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
R4.ElmBay\TR4.2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
NE_01.ElmSubstat\BB1.ElmTerm,400.0,1.0112809037413193,404.5123614965277,No
NE_01.ElmSubstat\BB2.ElmTerm,400.0,1.0112809038819779,404.51236155279116,No
NE_01_PP.ElmSubstat\NE_Term_G1.ElmTerm,16.5,1.0199999809807883,16.829999686183005,No
NE_01_PP.ElmSubstat\NE_Term_G2.ElmTerm,16.5,1.0099999905169765,16.66499984353011,No
1.ElmBay\1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
1.ElmBay\T1.1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
1.ElmBay\T1.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
10.ElmBay\10.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
10.ElmBay\T10.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
10.ElmBay\T10.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
11.ElmBay\11.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
11.ElmBay\T11.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
11.ElmBay\T11.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
12.ElmBay\12.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
12.ElmBay\T12.1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
12.ElmBay\T12.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
2.ElmBay\2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
3.ElmBay\3.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
4.ElmBay\4.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
4.ElmBay\T4.1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
4.ElmBay\T4.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
5.ElmBay\5.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
5.ElmBay\T5.1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
5.ElmBay\T5.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
7.ElmBay\7.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
7.ElmBay\T7.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
7.ElmBay\T7.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
8.ElmBay\8.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
8.ElmBay\T8.1.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
8.ElmBay\T8.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
9.ElmBay\9.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
9.ElmBay\T9.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
9.ElmBay\T9.2.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
Bay.ElmBay\TBay.1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
Bay.ElmBay\TBay.2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
NE_02.ElmSubstat\BB1.ElmTerm,400.0,1.0068163923414177,402.7265569365671,No
NE_02.ElmSubstat\BB2.ElmTerm,400.0,1.006816392452616,402.7265569810464,No
NE_02_PP.ElmSubstat\LV_NE_W1.ElmTerm,18.0,0.9583911930860407,17.251041475548732,No
1.ElmBay\1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
1.ElmBay\T1.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
1.ElmBay\T1.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
10.ElmBay\T10.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
2.ElmBay\2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
3.ElmBay\3.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
4.ElmBay\4.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
4.ElmBay\T4.1.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
4.ElmBay\T4.2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
5.ElmBay\5.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
5.ElmBay\T5.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
5.ElmBay\T5.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
6.ElmBay\6.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
7.ElmBay\7.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
7.ElmBay\T7.1.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
7.ElmBay\T7.2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
8.ElmBay\8.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
8.ElmBay\T8.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
8.ElmBay\T8.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
9.ElmBay\9.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
9.ElmBay\T9.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
9.ElmBay\T9.2.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
Bay.ElmBay\TBay.1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
Bay.ElmBay\TBay.2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
NE_03.ElmSubstat\BB1.ElmTerm,400.0,1.0081375563686812,403.2550225474725,No
NE_03.ElmSubstat\BB2.ElmTerm,400.0,1.0081375562653394,403.2550225061358,No
1.ElmBay\1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
1.ElmBay\T1.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
1.ElmBay\T1.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
2.ElmBay\2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
3.ElmBay\3.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
4.ElmBay\4.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
4.ElmBay\T4.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
4.ElmBay\T4.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
5.ElmBay\5.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
5.ElmBay\T5.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
5.ElmBay\T5.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
6.ElmBay\6.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
NE_04.ElmSubstat\BB.ElmTerm,400.0,1.0051583269771374,402.06333079085493,No
NE_04_PP.ElmSubstat\NE_Term_G7.ElmTerm,18.0,1.0099999905067174,18.179999829120913,No
NE_04_PP.ElmSubstat\NE_Term_G8.ElmTerm,18.0,1.0099999905067174,18.179999829120913,No
1.ElmBay\1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
1.ElmBay\T1.1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
1.ElmBay\T1.2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
2.ElmBay\2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
2.ElmBay\T2.1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
2.ElmBay\T2.2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
3.ElmBay\3.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
3.ElmBay\T3.1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
3.ElmBay\T3.2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
4.ElmBay\4.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
4.ElmBay\T4.1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
4.ElmBay\T4.2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
5.ElmBay\5.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
5.ElmBay\T5.1.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
5.ElmBay\T5.2.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
NW_01.ElmSubstat\BB.ElmTerm,400.0,1.011809337995136,404.72373519805444,No
NW_01_PP.ElmSubstat\LV_NW_PV1.ElmTerm,18.0,0.9635295582627217,17.34353204872899,No
NW_01_PP.ElmSubstat\NW_Term_G5.ElmTerm,18.0,1.0199999809826314,18.359999657687368,No
NW_01_PP.ElmSubstat\NW_Term_G6.ElmTerm,18.0,1.011635953039921,18.20944715471858,No
1.ElmBay\1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
1.ElmBay\T1.1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
1.ElmBay\T1.2.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
10.ElmBay\10.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
10.ElmBay\T10.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
10.ElmBay\T10.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
11.ElmBay\T11.2.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
2.ElmBay\2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
2.ElmBay\T2.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
2.ElmBay\T2.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
3.ElmBay\3.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
3.ElmBay\T3.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
3.ElmBay\T3.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
4.ElmBay\4.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
4.ElmBay\T4.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
4.ElmBay\T4.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
5.ElmBay\5.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
5.ElmBay\T5.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
5.ElmBay\T5.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
6.ElmBay\6.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
7.ElmBay\7.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
7.ElmBay\T7.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
7.ElmBay\T7.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
8.ElmBay\T8.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\9.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\T9.1.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
9.ElmBay\T9.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
Bay.ElmBay\TBay.1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
Bay.ElmBay\TBay.2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
NW_02.ElmSubstat\BB1.ElmTerm,400.0,1.0082956485680854,403.3182594272342,No
NW_02.ElmSubstat\BB2.ElmTerm,400.0,1.008295648505574,403.3182594022296,No
1.ElmBay\1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
1.ElmBay\T1.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
1.ElmBay\T1.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
10.ElmBay\10.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
10.ElmBay\T10.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
10.ElmBay\T10.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
11.ElmBay\11.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
11.ElmBay\T11.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
11.ElmBay\T11.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
2.ElmBay\2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
2.ElmBay\T2.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
2.ElmBay\T2.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\3.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\T3.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
3.ElmBay\T3.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\4.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\T4.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
4.ElmBay\T4.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
5.ElmBay\5.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
5.ElmBay\T5.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
5.ElmBay\T5.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
6.ElmBay\6.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
6.ElmBay\T6.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
6.ElmBay\T6.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\7.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\T7.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
7.ElmBay\T7.2.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
8.ElmBay\8.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
8.ElmBay\T8.1.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
8.ElmBay\T8.2.ElmTerm,400.0,1.003467970412892,401.3871881651568,No
9.ElmBay\9.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
9.ElmBay\T9.1.ElmTerm,400.0,1.0034679704762342,401.38718819049365,No
